"Date Made Public","Name","Entity","Type","Street Address","Location",", ","Postal Code","Total Records","Records Breached","","","","","Attached files","","All terms"
"November 5, 2005","Safeway, Hawaii","BSR","PORT","","Pleasanton","California","","1,400","1,400 in Hawaii, perhaps 
            more elsewhere","Additional locations: Hawaii (where affected employees work). Laptop was stolen from a private home in California.","A division director's laptop was stolen.  Names and Social Security numbers of some Hawaii workers were compromised by the theft.  The theft occurred in August and letters were sent to affected employees in October.","","Dataloss DB","","1400","2005"
"November 9, 2005","TransUnion Credit Bureau","BSF","STAT","","Chester","Pennsylvania","","3,623","3,623","","A desktop containing Social Security numbers and other information was stolen from a regional sales office in California.  Affected consumers were notified and offered one year of free credit monitoring services.","","Dataloss DB","","3623","2005"
"November 11, 2005","Georgia Tech University Office of Enrollment Services","EDU","STAT","","Atlanta","Georgia","","13,000","13,000","","On October 16 of 2005 computers were stolen from campus which contained the names, Social Security numbers, addresses and birth dates of current and prospective students. Notifications were sent to those who were affected.","","Dataloss DB","","13000","2005"
"November 11, 2005","Scottrade Troy Group","BSF","HACK","","Santa Ana","California","","","Unknown","","A hacker compromised a server containing names, Social Security numbers, driver's licenses, state ID numbers, dates of birth, phone numbers, bank names, bank codes, bank account numbers and Scottrade account numbers.  Scottrade alerted all affected customers.","","Dataloss DB","","","2005"
"November 19, 2005","Boeing","BSO","PORT","","Chicago","Illinois","","161,000","161,000","","A laptop containing names, Social Security numbers, bank account information and other human resources data was stolen.  Affected current and former employees were notified.","","Dataloss DB","","161000","2005"
"December 1, 2005","First Trust Bank","BSF","PORT","","Memphis","Tennessee","","100,000","100,000","","A man claiming to be a janitor bypassed security and stole a laptop from the bank.  The laptop contained Social Security numbers and other personal information of current and former customers.  Affected customers were contacted and the theft was caught on tape.","","Dataloss DB","","100000","2005"
"December 1, 2005","University of San Diego","EDU","HACK","","San Diego","California","","7,800","7,800","","Hackers gained access to computers containing personal income tax data, including Social Security numbers, names, and addresses.  Faculty members, students and vendors had their information compromised and were notified by the University.","","Dataloss DB","","7800","2005"
"December 2, 2005","Cornell University","EDU","HACK","","Ithaca","New York","","900","900","","The University discovered a security breach last summer that exposed names, addresses, 
            Social Security numbers, bank names and account numbers.","","Dataloss DB","","900","2005"
"December 6, 2005","Washington State Employment Security Department","GOV","PORT","","Olympia","Washington","","530","530","","A laptop was stolen from the trunk of an auditor's car. Names, Social Security numbers 
            and earnings of former employees from 2002 to 2005 were exposed.  The Employment Security Department does not have all of the contact information for those affected and used the media to help notify those whose information was compromised.  The laptop contained unemployment insurance reports for 49 Seattle businesses that were undergoing routine audits by Employment Security between November 2004 and October 2005..","","Dataloss DB","","530","2005"
"December 7, 2005","Idaho State University, Office of Institutional Research","EDU","HACK","","Pocatello","Idaho","","","Unknown","Contact: Information Technology Services (208) 282-2872, http://www.isu.edu/announcement/","ISU discovered a security 
            breach in a server containing archival information about students, 
            faculty, and staff, including names, Social Security numbers, birth dates, and grades. Anyone who was a student or employee between 1995 and 2005 could be affected.","","Dataloss DB","","","2005"
"December 12, 2005","Sam's Club, a division of Wal-Mart Stores, Inc","BSR","UNKN","","Bentonville","Arkansas","","","Unknown","Note: location is corporate headquarters, not necessarily the location of the breach.","
Customers who used credit cards at the wholesaler's gas stations discovered fraudulent activity on their credit accounts.  Sam's Club is unaware of how the information was stolen.  Visa alerted the affected financial institutions and asked them to provide fraud monitoring services for the affected customers.","","Dataloss DB","","","2005"
